Coin,Description,Rang,Prix,Prix - Devise,Capitalisation,Capitalisation boursière - Devise,Changement de prix % 24 heures,Performance % 1 semaine,Performance % 1 mois,Performance % 3 mois,Performance % 6 mois,Performance % Année écoulée,Performance % 1 année,Performance % 5 années,Performance % 10 années,Performance % Tout l'historique,Volatilité 1 jour,Catégorie,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile exponentielle (34) 4 heures,Moyenne mobile exponentielle (200) 4 heures,persum,persum_long,mrat2,mratlong,diff,difflong
CRV,Curve DAO Token,72,0.87032,USD,1198960131,USD,-1.016764097,-4.642321051,-12.48755669,11.31831728,72.74423405,-2.466576267,158.5828949,-73.06309919,-93.31008368,-93.31008368,2.494787884,"Échange décentralisé, DeFi, DAO, Tokens d'échange",0.912435714,0.64655385,0.872487479,0.889677444,71.57499465,240.17887,0.98067843,1.411229265,0.978242177,1.346090507
TRIBE,Tribe,269,0.62144,USD,287990930.5,USD,3.604565783,2.75302171,18.8380854,59.6752229,13.97131644,-8.701720364,53.7837169,-73.04256482,-73.04256482,-73.04256482,15.27572789,"DeFi, DAO",0.61948619,0.4417585,0.620027954,0.583750498,92.48462474,118.7285359,1.062145482,1.402318666,1.064564402,1.406741466
PENDLE,Pendle,80,5.5943,USD,937687401,USD,2.910495815,2.925321509,14.84439153,31.52536794,60.14370366,15.21336189,96.92268519,229.908994,229.908994,229.908994,4.48899502,"Social, médias et contenu, DeFi, Web3, Actifs réels",5.081595238,3.6438365,5.385695009,4.868492089,106.5134631,203.8051187,1.106234725,1.394572791,1.149082693,1.535277447
UNI,Uniswap,23,10.445,USD,6567187594,USD,-0.873196659,-3.998161765,-3.107606679,74.61299274,15.6149342,-20.99092284,47.08414898,850.054174,850.054174,850.054174,2.520843551,"Échange décentralisé, DeFi, DAO, Made in America, Tokens d'échange",10.49954286,7.533948,10.50339376,10.1818636,87.12032026,116.3211531,1.031578714,1.393630917,1.025843638,1.386391305
MOG,MOG Coin,136,1.0447E-06,USD,408025894.9,USD,0.239854169,-15.75,-35.49243594,-10.72466245,29.92165154,-48.21295791,-5.08907527,7642.125776,7642.125776,7642.125776,2.930474973,"Memes, Mèmes animaliers",1.23549E-06,8.91E-07,1.09376E-06,1.26811E-06,-16.29544685,-34.1050441,0.862514413,1.386054919,0.823824641,1.172013546
MNT,Mantle,33,1.2623,USD,4248642249,USD,-0.4341991,15.5952381,52.38911558,72.95808613,40.13099467,1.008241978,108.2820658,116.7969048,116.7969048,116.7969048,2.888527258,"Scaling, DeFi, DAO",1.085043333,0.78427025,1.271288093,1.010361318,165.4781964,222.3793886,1.258250955,1.38350694,1.249355036,1.609521718
BCH,Bitcoin Cash,16,563.1,USD,11214001004,USD,0.632628626,-5.104568665,6.973916678,32.00956489,75.54086913,29.82132565,61.1297107,99.14853128,1.297748099,1.297748099,2.177756928,"Crypto-monnaies, Niveau 1, Made in America",572.9861905,414.6096,565.4097844,559.5976408,114.5243507,198.5014704,1.01038629,1.381989685,1.00625871,1.358145108
IOTX,IoTeX,173,0.027834,USD,262791064.2,USD,-0.129208241,-4.268271711,7.720887031,36.5750736,39.83421251,-27.29219999,-24.43203893,254.9539761,-12.7983205,-12.7983205,1.356666065,"Plateformes de smart contracts, Computing dématérialisé & stockage, Internet des objets, Gestion des données & IA, DePIN, Made in America",0.029116952,0.02108692,0.028031741,0.027426574,84.13017314,24.6850472,1.022064967,1.380806319,1.014855142,1.319965173
BIT,BitDAO,220,1.2779,USD,2356025687,USD,0.802890405,16.17272727,58.64680323,78.50258416,37.9872584,3.987305721,50.87367178,-16.55173075,-16.55173075,-16.55173075,6.306752518,DAO,1.08167619,0.7833765,1.274461604,1.003808584,175.1366458,171.3508201,1.269626127,1.380787132,1.273051477,1.631271809
WEMIX,WEMIX,145,0.81825,USD,372040891.4,USD,-1.148883734,3.383577394,-19.76367915,112.6318798,11.81792093,6.194517988,1.934928628,127.6137844,127.6137844,127.6137844,2.901406369,"Gaming, Scaling, Marketplace, Niveau 1",0.80454,0.58467735,0.82164146,0.789952508,104.6861216,132.5792474,1.040115009,1.376040991,1.035821763,1.399489821
