Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat
SYM,Symbotic Inc.,43.9,USD,NASDAQ,-1.348314607,25922656805,USD,,0,324.1545894,82.53638254,67.7493313,53.33566189,-10.88103938,52.78571429,31.157325,46.3074,2.0713642,2.536565,3.857522107,-4.086032066,-9.004844885,203.6213757,1.694167079
CRDO,Credo Technology Group Holding Ltd,110.86,USD,NASDAQ,4.594773092,19028213428,USD,397.7753857,0,816.1983471,246.4375,53.65211365,87.13706955,18.9229779,113.2571429,67.960375,100.1842,2.5895233,3.1646357,6.772827594,8.542127061,6.036741237,387.2266832,1.666517332
BE,Bloom Energy Corporation,44.83,USD,NYSE,0.718939564,10490129450,USD,9538.297872,0,157.2002295,287.8027682,69.16981132,149.0555556,77.12366653,39.38761905,23.746,30.358,3.2861717,1.8387814,2.91822201,4.6473197,5.357762797,506.028135,1.658705426
ZEG,ZEGONA COMMUNICATIONS PLC ORD GBP0.01,1130,GBX,LSE,0.892857143,11403575449,USD,,0,927.2727273,221.0227273,103.456968,56.07734807,42.31738035,999.6666667,607.44,848.26,1.7182833,1.4760127,40.93409245,,,380.5570433,1.645704377
ASTS,"AST SpaceMobile, Inc.",44.98,USD,NASDAQ,-0.221827862,16126143347,USD,,0,345.3465347,31.79021389,42.77098873,86.25258799,-19.21695402,50.34214286,30.81625,48.8137,2.3239365,1.2336453,3.52415266,-69.70221272,-22.6773645,160.8137906,1.633623262
CLS,CELESTICA INC,252.29,CAD,TSX,-0.587122705,20852016120,USD,39.34224274,0,2318.887824,242.6922032,38.55997364,57.68125,14.7763978,265.0395238,162.4582,229.7742,1.680241,2.921185,13.16623816,30.86178992,30.99567558,338.9334268,1.631432109
RBLX,Roblox Corporation,114.85,USD,NYSE,-3.071989197,79619419191,USD,,0,78.0620155,182.3254671,82.82394142,42.67080745,-7.015342266,124.5485714,76.5044,114.5448,1.6364889,1.0810581,6.457549197,-401.2108012,-31.6314941,307.8202159,1.627992265
RKLB,Rocket Lab Corporation,41.53,USD,NASDAQ,2.064389285,20034623742,USD,,0,325.9487179,519.8507463,60.37845144,63.92342609,-9.697760383,44.31238095,27.266575,40.1694,2.1785104,2.3600667,3.008999537,-40.45135595,-21.17976862,644.1526238,1.625153909
ALAB,"Astera Labs, Inc.",177.53,USD,NASDAQ,2.945781386,29508884916,USD,311.2923023,0,237.7663623,355.0884389,99.69628796,95.10935268,53.04310345,158.58,99.482275,122.1511,1.4104675,2.5485466,11.42808071,10.11203625,4.196157234,549.8940795,1.59405281
PLTR,Palantir Technologies Inc.,156.18,USD,NASDAQ,0.108967374,3.70513E+11,USD,519.0428714,0,1461.8,383.230198,45.04086181,29.20251489,3.533311236,168.467619,105.76711,153.1278,2.597157,2.3819997,7.566654687,15.29731422,10.68469223,457.4735747,1.592816699
FRES,FRESNILLO PLC ORD USD0.50,1677,GBX,LSE,0.359066427,16513622276,USD,35.10794975,1.498828172,36.89795918,206.3013699,116.8067227,50.53859964,14.70588235,1589.047619,1012.7275,1512.96,0.13455988,0.8203005,58.48499515,12.14327523,28.61520655,373.6466922,1.569077189
BBD.A,BOMBARDIER INC,164.03,CAD,TSX,0.873255027,11853326637,USD,26.36375325,0,1031.241379,85.51232753,82.5395059,82.33659404,-1.73136832,164.107381,104.63635,147.0242,3.0582783,1.5212767,4.309196543,,14.41381189,250.3884275,1.568359188
ASELS,ASELSAN,180.5,TRY,BIST,0.110926234,19715588974,USD,47.22411177,0.061620937,1979.492848,217.5022099,114.7531231,32.62307127,1.233875491,179.1380952,115.02125,164.208,0.9604262,0.66174954,5.356525409,12.40139567,18.79301283,364.8784044,1.55743478
GEV,GE Vernova Inc.,606,USD,NYSE,0.233215898,1.64968E+11,USD,145.0072982,0.12405101,426.9565217,230.2992315,69.46308725,31.7362666,8.502981146,639.1,413.060925,573.2118,1.5613651,1.5943857,22.75507825,12.88452965,5.080409357,331.4985853,1.547229383
TLN,Talen Energy Corporation,357.86,USD,NASDAQ,-0.622049431,16348947228,USD,102.175651,0,671.6657682,161.8423941,50.12795234,50.12795234,15.3271028,370.9914286,242.68385,322.1794,1.593743,1.6217762,14.40174301,9.954751131,26.44710579,262.0982988,1.528702584
CBK,COMMERZBANK AG,37.41,EUR,XETR,-1.26682502,49581369168,USD,16.22993492,1.765824504,709.5650292,193.1818182,90.38167939,41.16981132,28.11643836,34.2452381,23.039,30.7904,0.97418576,0.83543015,1.132830133,9.110158725,0.7725346,324.7333089,1.486402973
FIX,"Comfort Systems USA, Inc.",694,USD,NYSE,1.896987138,24485327812,USD,35.66601399,0.220238445,1211.165691,110.8269032,68.6266887,53.30918088,27.5149288,687.6447619,465.3077,593.3146,1.4911494,2.2044258,24.00190954,40.08926588,44.09975947,232.7627728,1.477828031
CELH,"Celsius Holdings, Inc.",62.07,USD,NASDAQ,0.1937046,16010716612,USD,171.1331679,0,779.179342,51.7603912,81.97009675,76.7872401,42.50947078,51.48238095,34.99535,47.5368,1.3951995,0.5058169,2.246614747,7.909457323,8.723811302,210.517728,1.471120619
COOP,Mr. Cooper Group Inc.,183.435,USD,NASDAQ,-1.155835758,11738605487,USD,20.97358793,0,937.5282805,102.3328921,65.82444404,46.90077681,12.16179033,178.3085714,121.73945,161.8682,0.9784802,-0.19782476,8.359159735,11.76106469,,215.058113,1.464673706
FNMA,Fannie Mae,10.76,USD,OTC,1.509433962,12461023341,USD,,0,393.5779817,760.8,40.65359477,2.476190476,33.99750934,9.574752381,6.5545095,9.429656,2.0401254,0.29360735,0.716960521,16.10895231,,803.9297852,1.460788543
SOFI,"SoFi Technologies, Inc.",23.33,USD,NASDAQ,3.596802842,27655043579,USD,47.05526422,0,112.0909091,215.2702703,49.93573265,82.265625,12.21741222,22.40809524,15.4456,20.023,1.9379846,2.4599288,1.233007293,8.801030303,,347.4716279,1.450775317
ALNY,"Alnylam Pharmaceuticals, Inc.",467.55,USD,NASDAQ,2.016102638,61285989530,USD,,0,240.2343181,67.49659669,84.29247142,63.25924891,45.39602575,410.3202381,283.35865,356.8975,0.25210136,1.189942,13.20795126,-257.8246958,-5.794176593,215.048317,1.448059687
LUG,LUNDIN GOLD INC,79,CAD,TSX,1.503276372,13694698376,USD,22.29434175,2.056667095,583.982684,186.1282144,100.5585174,23.97991212,19.98784933,72.30285714,50.15885,71.1804,0.90569144,1.3305402,2.858163704,53.36076885,70.76036321,310.6666439,1.441477569
AU,AngloGold Ashanti PLC,54.83,USD,NYSE,2.066269546,27608390120,USD,23.53319885,1.694527178,89.06896552,71.77318296,74.95213784,23.32433648,8.007485472,53.29952381,37.0992,49.9854,0.4732772,0.65050185,1.791986996,,16.67469364,170.0496573,1.436675826
U,Unity Software Inc.,36.28,USD,NYSE,1.227678571,15328948290,USD,,0,-51.62666667,111.9158879,23.69587453,70.40864256,1.340782123,34.73952381,24.37415,30.5908,2.3238442,2.3509014,2.265367042,-13.61897742,-7.792587992,206.0204049,1.425260935
ENR,SIEMENS ENERGY AG,91.68,EUR,XETR,-1.419354839,85285003678,USD,84.84175458,0,316.5379373,269.5284309,52.14072353,10.88534107,-0.347826087,97.21333333,68.27825,94.2464,1.8309643,1.2178471,3.571527158,9.607250755,7.425965544,332.5544955,1.423781853
WDC,Western Digital Corporation,74.66,USD,NASDAQ,-1.295610788,25901206686,USD,14.5346234,0.132205182,190.9474536,52.26653605,37.88132186,51.68630638,8.944987597,74.32357143,52.37833594,68.002,1.5918401,2.0232158,2.084459066,25.97805196,21.47273749,141.8341643,1.418975424
STX,Seagate Technology Holdings PLC,154.6,USD,NASDAQ,-2.398989899,32879891749,USD,22.82592647,1.805555556,243.7083148,48.36852207,50.57952664,42.77798301,3.758389262,153.4457143,108.226775,146.4749,1.5245078,1.831877,5.016082072,,38.24263605,141.7260317,1.417816564
NET,"Cloudflare, Inc.",192.77,USD,NYSE,-0.222567288,67176799787,USD,,0,376.5636588,134.1430827,22.92437189,24.23148805,-1.963077862,201.3638095,142.2619,192.873,1.8425457,1.8199698,7.873208977,-11.03856554,-5.167820657,181.2989427,1.415444399
INSM,Insmed Incorporated,132.6,USD,NASDAQ,2.433371958,28028297964,USD,,0,388.7578327,74.13000657,56.99739522,100.7874016,28.83793237,115.1509524,81.48505,106.7417,0.9462332,0.96716213,3.702139964,-160.5430277,-53.71387346,231.9148034,1.413154344
SAAB_B,SAAB AB SER. B,516.9,SEK,OMXSTO,1.552062868,28175777664,USD,53.71394131,0.36111947,654.5985401,118.5623679,73.74789916,11.16129032,-1.33613285,517.6238095,371.39875,506.279,-0.05914585,0.52181756,21.84529236,14.05149693,12.12396189,203.4715573,1.393714463
AVAV,"AeroVironment, Inc.",235.07,USD,NASDAQ,1.218567,11598941549,USD,152.3065958,0,196.3191731,25.38404096,46.90038745,43.55419847,-11.29433962,256.057619,184.102375,245.6114,0.99086833,1.665509,11.2790341,5.103869997,6.192498842,115.8386269,1.390843649
GLE,SOCIETE GENERALE,57.74,EUR,EURONEXT,-0.207397166,46275011137,USD,9.157520777,1.898293278,323.6865277,171.5898401,52.79174385,17.5010175,15.48,55.96761905,40.277525,52.0114,1.5910422,1.2009889,1.105224906,7.465970244,-0.189668664,241.8826014,1.389549607
RR.,ROLLS ROYCE HOLDINGS ORD GBP0.20,1035.5,GBX,LSE,-0.480538203,1.17704E+11,USD,15.16328558,0.584795322,1060.120098,109.7002878,69.25465839,23.30316742,4.850141758,1055.338095,760.7375,995.926,1.6326823,1.4200094,26.3701932,9979.310345,16.21607195,202.2581136,1.38725657
TPEIR,PIRAEUS FINANCIAL HOLDINGS(CR),7.11,EUR,ATHEX,-0.531617236,10314375147,USD,8.340175953,4.178385562,-65.77369878,83.01158301,49.96836111,23.09556787,5.395790098,6.978666667,5.03407,6.44528,2.0485861,1.9316337,0.171360045,14.23120691,4.964246425,156.075512,1.386287173
AMD,"Advanced Micro Devices, Inc.",163.71,USD,NASDAQ,-0.901937046,2.65676E+11,USD,94.23242963,0,93.62507392,4.861644889,42.54865253,51.46412546,4.80793854,172.7757143,124.6926,153.9452,1.9399127,1.9110112,7.212714385,4.698673872,3.906274671,98.87442288,1.385613214
DBK,DEUTSCHE BANK AG NA O.N.,31.65,EUR,XETR,0.285171103,71298765840,USD,10.46938573,2.174260592,299.6212121,119.4868239,62.85890707,28.47574589,20.70938215,30.18,21.87378,27.3096,0.98843366,1.3881212,0.618800649,9.500035104,0.730826494,210.8214768,1.379734093
DLTR,"Dollar Tree, Inc.",112.59,USD,NASDAQ,-0.670489634,23497061164,USD,,0,11.46421146,8.782608696,47.58159654,27.43633277,-0.168469587,114.5161905,83.009525,107.9866,0.8841051,0.6268497,2.43308029,19.2454445,10.61138414,83.800538,1.379554822
HAG,HENSOLDT AG,86.55,EUR,XETR,3.652694611,11193020108,USD,109.8489656,0.622665006,655.2356021,156.2167039,89.71942131,7.783312578,-13.53646354,88.91428571,64.5825,94.072,0.57853925,1.0402192,4.312601466,11.51898734,7.950028393,253.7194377,1.376755092
TPR,"Tapestry, Inc.",98.39,USD,NYSE,-0.485485992,20477283505,USD,155.3853443,1.416000809,571.1459754,142.6387176,13.61431871,27.51425609,-7.762257429,106.3857143,77.3792,98.0606,1.5305909,1.1453787,3.930597817,9.758436093,17.21419893,183.7672924,1.374861905
ORCL,Oracle Corporation,233.16,USD,NYSE,-0.808304263,6.54908E+11,USD,53.7123638,0.765761933,318.1492109,67.98270893,32.38700886,50.43551197,-3.644929333,247.3509524,180.70505,233.471,1.4310492,1.4775836,7.746709624,85.3575716,14.72812564,150.8052298,1.368810403
AAF,AIRTEL AFRICA PLC ORD USD0.5,217.8,GBX,LSE,1.680672269,10475447826,USD,30.67158718,2.300562852,275.5172414,92.5729443,59.67741935,20.53126729,16.5329053,209.9904762,153.987,193.224,1.5618091,1.8298727,5.17184234,,,172.7816309,1.363689637
CCJ,Cameco Corporation,71.43,USD,NYSE,1.362281822,31099725255,USD,79.37465705,0.163666121,575.7805109,71.58299303,53.87763895,27.40568982,-6.749347258,76.09714286,55.9648,74.1258,1.262754,2.4899118,2.817444402,8.249126234,6.702940085,152.8663218,1.35973224
RDDT,"Reddit, Inc.",218.65,USD,NYSE,0.128222741,40921699628,USD,184.5614924,0,365.212766,298.414723,24.58689459,128.1644579,50.37826685,200.4852381,148.10045,166.414,2.3289347,2.064567,12.3243589,10.10760801,6.055020748,451.1660755,1.353711201
APH,Amphenol Corporation,108.81,USD,NYSE,0.14726185,1.32848E+11,USD,43.41113106,0.607455131,314.553767,62.24558264,56.69642857,29.73649696,4.856895056,108.2061905,79.96375,102.1148,1.13254,1.6287411,2.821775608,31.02237139,24.60676456,148.6785082,1.353190545
K,KINROSS GOLD CORP,27.14,CAD,TSX,2.453756134,23766360193,USD,15.68061012,0.632114005,135.1819757,113.3647799,66.70761671,32.58426966,23.64464692,24.58619048,18.2017,22.6588,0.6681542,1.4795083,0.768415164,22.50036219,24.43305904,212.6566662,1.350763416
BWXT,"BWX Technologies, Inc.",165.34,USD,NYSE,1.088285644,15111867779,USD,51.5849245,0.599168501,190.3758342,66.12076761,57.55669907,46.30563667,18.74461362,165.1738095,122.5556,150.7916,0.72056615,1.1538346,5.43809342,26.97186725,11.55731908,169.9831033,1.347745917
AVGO,Broadcom Inc.,289.6,USD,NASDAQ,-0.539203902,1.36213E+12,USD,108.8639952,0.789916544,772.2623582,75.3875969,28.3403501,27.61082224,0.676157202,299.1166667,223.2733,281.6064,1.1677177,2.2893322,9.304434798,18.97711882,14.45800858,131.3387692,1.339688474
TIT,TELECOM ITALIA,0.4575,EUR,MIL,-0.45691906,11750224991,USD,111.5853659,0,24.86715295,97.20398798,68.20340236,17.8550383,11.91615726,0.431385431,0.322789431,0.416303069,0.9865698,0.7700095,0.00930777,-2.008048453,4.101999503,183.2624286,1.336429851
NEM,Newmont Corporation,70.09,USD,NYSE,1.579710145,76990335943,USD,12.58370886,1.449275362,5.477802859,35.78070515,47.68225874,30.64305685,15.96624752,66.6752381,49.9483,62.0252,0.3184848,0.8822918,1.753342892,20.25662292,15.59124262,114.1060207,1.334885033
RHM,RHEINMETALL AG,1623.5,EUR,XETR,0.93254585,85543006609,USD,89.87240167,0.520064205,2001.34605,202.4403931,79.86926656,-8.276836158,-8.432036097,1660.642857,1244.287,1730.31,0.5651219,0.57809156,66.87810788,21.90821882,21.34557028,274.0328235,1.334614006
ETE,NATIONAL BANK (CR),12.73,EUR,ATHEX,0.236220472,13511932655,USD,10.55468037,3.497637795,988.9649273,60.32745592,50.11792453,21.35367016,8.294342833,12.61238095,9.477105,11.8281,2.0651076,1.5083829,0.310831109,12.9218107,5.143974464,131.7990506,1.330826339
JBL,Jabil Inc.,205.06,USD,NYSE,0.494976721,22006799509,USD,39.8646941,0.156824308,490.9510086,90.6470807,22.99664107,26.66625486,-7.962298025,219.397619,164.9535,215.351,1.2001486,1.5350196,6.431858706,32.40662735,26.40120778,140.3099766,1.330057374
STR,STRABAG SE,87.2,EUR,VIE,0.576701269,11895867986,USD,12.40221875,2.753303965,236.0308156,127.0833215,57.68535262,7.125307125,11.79487179,83.93809524,63.3055,80.068,0.34351808,1.2050707,2.615720747,17.56887451,11.34753275,191.8939813,1.325921053
MEDP,"Medpace Holdings, Inc.",453.34,USD,NASDAQ,-2.658249592,12735691945,USD,33.71334657,0,258.4848964,16.03573165,30.98904909,57.02805681,1.739267039,447.2442857,337.556925,375.1937,1.4287661,1.1455061,14.36504996,89.38426198,74.71643496,104.0528376,1.32494478
BEAN,BELIMO N,896.5,CHF,SIX,-0.222593211,13664597595,USD,64.55956907,1.062639821,138.1142098,63.44576117,35.32075472,11.78304239,-1.483516484,916.5952381,692.067,864.4,1.2191995,1.029912,21.11580085,32.40393891,39.06555804,110.5495583,1.32443136
ANA,"ACCIONA, S.A.",176.5,EUR,BME,-0.22611645,11219475067,USD,11.55104712,2.411310423,77.03109861,46.35157546,61.63003663,30.25830258,4.623592175,171.6095238,130.026,162.088,0.8666406,1.0122348,2.841154457,18.00086543,7.184095466,138.2399147,1.319809298
HOT,HOCHTIEF AG,223.6,EUR,XETR,0.17921147,19494853518,USD,20.50661237,2.362240289,192.0966574,107.4211503,47.98146923,33.81208857,19.89276139,206.4761905,156.469,184.954,0.98705643,1.3458674,4.755639849,108.1770702,14.85059181,189.2147081,1.31959807
SPIE,SPIE,52.1,EUR,EURONEXT,-0.095877277,10172586984,USD,43.44200784,1.902949572,281.6849817,51.80652681,53.77804014,14.65669014,9.776654024,51.72714286,39.30645,48.7798,0.86820745,0.61674607,0.862746096,10.66019147,10.8454485,120.2412571,1.315996302
NRG,"NRG Energy, Inc.",145.89,USD,NYSE,-1.552061543,28219619497,USD,61.73670179,1.143801876,320.6747405,78.08837891,31.14886731,-5.093676815,-4.328152666,156.8380952,119.18795,154.8228,1.1379236,1.9011221,5.903405869,17.66198613,13.61735893,104.1435694,1.315888857
HOLN,HOLCIM N,67,CHF,SIX,-0.029841838,44647694777,USD,2.407361496,4.618593564,202.9187078,64.61986739,38.56716107,39.68274415,3.843769374,66.49428571,50.56289527,61.70394986,1.0809325,1.0565951,1.019314448,12.79476089,11.25181766,142.8697726,1.315080661
CVNA,Carvana Co.,339.07,USD,NYSE,0.135849502,72969032687,USD,84.8990936,0,65.35966837,118.7971866,37.22530252,13.97310924,-0.790004974,348.02,265.15185,338.7892,3.5798852,2.2349496,16.4723905,49.91134752,21.62702664,169.9955983,1.312530914
ABN,ABN AMRO BANK N.V.,25.84,EUR,EURONEXT,0.349514563,24895816757,USD,9.310705149,5.289968652,228.1686563,69.60945192,47.36241802,12.34782609,6.075533662,25.40904762,19.4127,24.46,1.014649,0.95584595,0.463027669,10.15727968,2.090765126,129.319696,1.308887873
IDXX,"IDEXX Laboratories, Inc.",633.05,USD,NASDAQ,-1.062749082,50646969343,USD,52.69181469,0,64.75881657,27.67738292,39.31251513,27.1184739,21.03049422,617.8219048,473.022725,567.1913,1.4953802,0.9180172,17.54439706,64.8654198,56.94889921,94.10837195,1.306114637
EBAY,eBay Inc.,98.86,USD,NASDAQ,-0.292486132,45179020279,USD,21.84606545,1.129601614,69.10708177,73.34736104,41.65353202,38.13050161,24.3834927,92.11952381,70.708025,83.2926,1.2678875,0.43199974,2.363821349,42.63188631,17.87218045,153.1313947,1.302815682
UCG,UNICREDIT,69.25,EUR,MIL,0.101185314,1.25065E+11,USD,,3.492513447,745.1305834,93.67920029,44.51168614,20.93957387,16.19127517,65.89380952,50.583675,60.9106,1.637954,1.347752,1.157447252,16.29856347,2.565985496,159.1304603,1.302669478
BCP,B.C.P.-BCO COMERCIAL PORTUGUES,0.7894,EUR,EURONEXT,-0.978424486,13983801956,USD,12.98355263,3.813882532,658.309318,97.30067483,46.02293748,18.95720313,17.01749185,0.746266667,0.5739195,0.69894,1.3484373,0.69563085,0.016735156,14.04586774,1.859055664,162.2808154,1.300298503
SAB,BANCO DE SABADELL,3.423,EUR,BME,0.058462438,20148288086,USD,9.710638298,4.866666667,950,80.44280443,36.92,21.38297872,16.82593857,3.277095238,2.5209,3.0235,1.3201181,1.2546036,0.059751127,13.27394226,2.849357672,138.7457832,1.299970343
EME,"EMCOR Group, Inc.",610.85,USD,NYSE,0.945251434,27344242064,USD,25.34857665,0.165253747,721.9187298,66.78498294,41.10323162,34.86929259,9.150525338,619.0857143,476.3056,565.5116,1.272152,1.6582971,16.34292639,38.13769148,40.38940434,142.7575071,1.299765769
NVDA,NVIDIA Corporation,174.98,USD,NASDAQ,-0.23945268,4.26951E+12,USD,56.36334353,0.022805017,1258.14495,37.43863645,24.95001428,34.6,2.124430956,178.5152381,137.6421,166.2934,2.1442769,2.1165094,4.450661013,115.4626462,107.3523458,96.98865073,1.296952299
EUROB,EUROBANK HOLDINGS (CR),3.422,EUR,ATHEX,0.175644028,14601028251,USD,8.899869961,3.073770492,714.7619048,70.8437344,37.87268332,29.42511346,8.085912824,3.320761905,2.563785,3.10916,1.7634947,1.4772123,0.070446342,16.0004504,4.15305595,138.1415312,1.295257561
WRT1V,WARTSILA CORPORATION,24.23,EUR,OMXHEX,-0.164812526,16619496876,USD,25.51600674,1.568303756,243.2011331,28.2010582,33.5722161,36.20011242,5.48541576,24.17047619,18.681725,22.016,1.4648352,1.2125463,0.385708494,23.7782949,22.98554458,97.97338672,1.293803232
SAN,BANCO SANTANDER S.A.,8.256,EUR,BME,-0.012110936,1.42373E+11,USD,9.820387772,2.0809885,362.5233405,94.57930709,42.34482759,16.77510608,13.09589041,7.873285714,6.0886525,7.4532,1.6234572,1.5975559,0.153355294,13.28773915,1.156952496,153.6992408,1.293108075
TEL,TE Connectivity plc,200.3,USD,NYSE,-0.6201935,59184946623,USD,41.35610018,1.319771769,113.6533333,32.3859881,28.84343239,28.91806655,11.93696211,203.9485714,157.7619,185.4236,1.2264867,1.3388774,3.939820238,11.63395035,17.11675828,90.14748705,1.292761886
SMCI,"Super Micro Computer, Inc.",42.31,USD,NASDAQ,-0.70406008,25251354616,USD,25.53101617,0,1489.406461,-30.96640506,-30.63934426,6.386723661,-18.38348765,50.38666667,39.120975,48.8616,1.4561383,2.8962598,2.577428836,17.900214,13.07397626,-55.21902567,1.287970626
BKT,"BANKINTER, S.A.",13.23,EUR,BME,0.151400454,13775420280,USD,,3.510247619,301.7264509,68.75,48.5181859,11.83431953,15.64685315,12.72833333,9.89106,11.8878,0.92400897,0.9965625,0.197319675,17.22755766,1.289804957,129.1025054,1.286852302
VST,Vistra Corp.,190.28,USD,NYSE,-1.36333005,64470728649,USD,30.18927795,0.461095848,893.1106472,138.8951664,16.27253284,21.53806847,1.390739063,201.3547619,156.86015,193.2532,1.3126656,2.271634,8.718551824,45.85253456,25.78746971,176.7057677,1.283657844
IBKR,"Interactive Brokers Group, Inc.",62.47,USD,NASDAQ,0.024017292,27814604295,USD,32.76341323,0.428308382,382.673363,106.5806878,9.842190866,23.59895138,1.084142395,64.48928571,50.30035,59.6961,1.2224636,1.7092295,1.92175275,19.14990859,,140.0218301,1.282084234
GE,GE Aerospace,268.71,USD,NYSE,0.851974178,2.84951E+11,USD,37.50994598,0.480408347,749.9397007,57.97178131,28.96429257,17.42265338,3.060637441,271.0933333,211.82585,259.3686,1.45281,1.5848651,6.067643457,40.19823497,8.496345478,104.3587273,1.27979344
