Symbole,Description,Prix,Prix - Devise,Marché,Changement de prix % 1 jour,Capitalisation boursière,Capitalisation boursière - Devise,Ratio cours/bénéfice,"Rendement du dividende %, 12 mois écoulés",Performance % 5 années,Performance % 1 année,Performance % 6 mois,Performance % 3 mois,Performance % 1 mois,Moyenne mobile simple (21) 1 jour,Moyenne mobile simple (200) 1 jour,Moyenne mobile simple (50) 1 jour,Beta 5 années,Beta 1 année,Moyenne de la vraie amplitude (14) 1 jour,"Rendement des fonds propres %, 12 mois écoulés","Rendement des capitaux employés %, 12 mois écoulés",perfsum,mrat,perf_sum,perf_norm,MRAT,Diff,score
TDG,Transdigm Group Inc.,1393.14,USD,NYSE,-0.64,78503836280.0,USD,46.25,0.0,189.54,5.94,6.65,0.12,-11.91,1481.43,1378.79,1497.96,1.07,0.86,36.49,,19.9,12.71,1.074441198,12.71,1.01,1.07,1.01,2.09
DRI,"Darden Restaurants, Inc.",206.54,USD,NYSE,-0.46,24172166201.0,USD,23.27,2.75,146.97,32.59,5.82,1.96,-0.13,204.7,195.85,211.12,0.75,0.46,3.76,46.16,12.33,40.37,1.045179162,40.37,1.04,1.05,1.05,2.09
DTE,DTE Energy Company,140.2,USD,NYSE,-0.21,29103808796.0,USD,20.17,3.05,41.9,13.89,7.22,3.24,1.43,139.2,130.2,135.94,0.44,0.19,2.0,12.61,4.07,24.35,1.069133759,24.35,1.02,1.07,1.08,2.09
MA,Mastercard Incorporated,591.92,USD,NYSE,-0.13,535103000000.0,USD,39.93,0.5,74.42,26.33,5.43,4.86,6.5,573.08,547.22,564.77,1.03,0.84,9.04,177.9,60.13,36.62,1.04726002,36.62,1.04,1.05,1.08,2.08
H,HYDRO ONE LTD,51.0,CAD,TSX,0.14,21977907547.0,USD,24.38,2.5,84.38,14.25,15.59,-0.16,5.18,49.96,47.63,49.33,0.28,0.18,0.65,10.34,6.59,29.68,1.049034725,29.68,1.03,1.05,1.07,2.08
BROS,Dutch Bros Inc.,63.13,USD,NYSE,0.3,10386039279.0,USD,134.06,0.0,94.25,104.17,-23.91,-5.08,0.94,62.24,61.94,64.82,2.64,2.27,2.82,9.99,5.54,75.18,1.004866993,75.18,1.08,1.0,1.02,2.08
CLH,"Clean Harbors, Inc.",244.56,USD,NYSE,0.24,13116390116.0,USD,34.35,0.0,299.87,1.9,13.75,8.15,8.07,239.97,227.65,233.82,1.19,1.0,4.64,14.93,10.42,23.79,1.054091929,23.79,1.02,1.05,1.07,2.08
TOL,"Toll Brothers, Inc.",131.58,USD,NYSE,0.11,12918656128.0,USD,9.67,0.73,193.05,-3.91,14.42,28.1,8.16,126.42,121.09,119.95,1.33,0.99,3.78,17.73,16.31,38.6,1.044068243,38.6,1.04,1.04,1.09,2.08
ENB,ENBRIDGE INC,66.7,CAD,TSX,0.12,104499000000.0,USD,23.45,5.58,54.33,25.12,12.44,6.77,9.13,64.15,62.15,62.66,0.86,0.47,0.93,9.99,5.9,44.33,1.032289673,44.33,1.04,1.03,1.07,2.08
THYAO,TURK HAVA YOLLARI,337.25,TRY,BIST,0.07,11152138800.0,USD,4.59,1.02,2943.77,12.42,6.64,18.96,12.89,312.2,298.88,293.38,1.19,0.97,6.73,15.43,5.77,38.02,1.044583085,38.02,1.04,1.04,1.13,2.08
GWO,GREAT WEST LIFECO INC,55.12,CAD,TSX,0.18,36613193662.0,USD,13.82,4.23,110.78,26.65,5.31,7.07,5.59,53.18,50.87,52.06,0.74,0.08,0.73,14.19,0.68,39.04,1.045356894,39.04,1.04,1.05,1.08,2.08
SPSN,SWISS PRIME SITE N,114.7,CHF,SIX,-0.17,11399047371.0,USD,25.5,3.02,32.91,25.36,5.33,-2.3,-1.97,113.52,107.86,115.63,0.51,0.11,1.56,5.45,,28.38,1.052515629,28.38,1.03,1.05,1.06,2.08
VTR,"Ventas, Inc.",69.12,USD,NYSE,-0.09,32207930030.0,USD,159.82,2.69,66.23,17.05,3.57,8.05,3.77,67.78,64.4,65.57,0.89,0.31,1.08,1.81,,28.67,1.052402764,28.67,1.03,1.05,1.07,2.08
TJX,"TJX Companies, Inc. (The)",137.51,USD,NYSE,-0.55,153408000000.0,USD,31.38,1.12,166.91,14.7,11.86,7.43,9.94,130.63,124.39,126.76,0.89,0.46,2.41,59.75,31.38,33.99,1.05016674,33.99,1.03,1.05,1.11,2.08
FWONA,Liberty Media Corporation - Series A Liberty Formula One,90.45,USD,NASDAQ,-0.22,33302819568.0,USD,85.42,0.0,159.37,25.94,-1.73,2.38,-3.37,89.44,85.06,91.03,0.83,0.53,1.82,3.79,4.29,26.59,1.051500762,26.59,1.03,1.05,1.06,2.08
ABBV,AbbVie Inc.,209.5,USD,NYSE,0.17,370094000000.0,USD,99.7,3.09,120.76,6.65,4.58,14.88,13.28,198.33,188.61,192.67,0.5,0.37,3.93,112.9,18.68,26.11,1.051548031,26.11,1.03,1.05,1.11,2.08
DGX,Quest Diagnostics Incorporated,183.72,USD,NYSE,-0.37,20544202635.0,USD,21.97,1.68,55.6,21.37,7.27,8.04,7.67,175.11,167.53,175.02,0.46,0.28,3.16,13.65,11.75,36.68,1.045283515,36.68,1.04,1.05,1.1,2.08
EXC,Exelon Corporation,44.64,USD,NASDAQ,-0.53,45085832665.0,USD,16.95,3.48,70.07,18.75,3.35,1.69,1.66,44.62,42.28,43.75,0.36,0.02,0.73,9.87,4.78,23.79,1.055400547,23.79,1.02,1.06,1.06,2.08
ES,Eversource Energy (D/B/A),65.42,USD,NYSE,-0.44,24278353960.0,USD,28.16,4.47,-23.74,-0.88,4.12,3.28,-0.65,65.77,61.54,65.06,0.62,0.19,1.07,5.63,5.36,6.53,1.06869916,6.53,1.01,1.07,1.06,2.08
WEC,"WEC Energy Group, Inc.",108.48,USD,NYSE,-0.39,34916067506.0,USD,20.79,3.17,17.93,19.56,4.99,2.01,-0.18,109.13,103.45,106.88,0.41,0.21,1.63,13.12,5.52,26.57,1.054884819,26.57,1.03,1.05,1.05,2.08
ADI,"Analog Devices, Inc.",246.95,USD,NASDAQ,0.85,121488000000.0,USD,62.82,1.56,110.69,7.59,0.82,18.17,3.42,229.49,217.23,234.03,1.05,1.51,6.06,5.65,5.81,26.59,1.056437062,26.59,1.03,1.06,1.14,2.08
FORTUM,FORTUM CORPORATION,15.24,EUR,OMXHEX,0.16,15844234222.0,USD,14.5,9.25,-9.55,4.81,2.28,1.23,-5.93,15.77,14.68,15.79,0.73,1.18,0.3,11.27,7.12,8.33,1.074641383,8.33,1.01,1.07,1.04,2.08
DTG,DAIMLER TRUCK HLDG JGE NA,40.52,EUR,XETR,0.37,37101418319.0,USD,13.19,4.62,44.71,18.31,-3.27,3.24,-4.73,41.34,38.82,40.64,1.4,1.33,0.96,11.21,5.97,18.27,1.065061377,18.27,1.02,1.07,1.04,2.08
CART,Maplebear Inc.,44.52,USD,NASDAQ,-2.18,11728272945.0,USD,25.7,0.0,6.0,33.21,-15.2,-4.48,-9.6,47.48,44.58,46.84,1.23,1.05,1.86,14.54,16.87,13.53,1.065052658,13.53,1.01,1.07,1.0,2.08
VLTO,Veralto Corp,108.47,USD,NYSE,-0.4,26918006932.0,USD,30.38,0.39,40.41,-1.39,11.45,8.52,6.1,106.62,100.69,103.25,1.16,0.69,1.67,41.35,23.58,18.58,1.058932,18.58,1.02,1.06,1.08,2.08
SPL,SANPL,533.2,PLN,GPW,-4.0,15459185249.0,USD,9.72,8.43,242.01,4.88,0.3,4.63,1.64,546.14,510.15,516.12,1.41,1.33,18.67,19.68,9.14,9.81,1.070562922,9.81,1.01,1.07,1.05,2.08
PSH,"Pershing Square Holdings, Ltd. Public Class USD Accum.Shs",4218.0,GBX,LSE,0.29,10173969092.0,USD,8.44,1.08,117.34,17.17,-5.26,9.27,-0.99,4160.0,3927.03,4089.44,1.07,1.55,86.28,9.27,,21.19,1.059324731,21.19,1.02,1.06,1.07,2.08
TWLO,Twilio Inc.,100.97,USD,NYSE,-0.95,15492191689.0,USD,828.98,0.0,-60.29,65.88,-14.03,-11.14,-22.65,114.93,111.62,118.47,1.24,1.45,5.6,0.24,0.89,40.71,1.029644843,40.71,1.04,1.03,0.9,2.07
DAL,"Delta Air Lines, Inc.",57.84,USD,NYSE,-2.05,37766533488.0,USD,8.39,1.08,109.11,43.42,-9.55,22.85,3.3,55.88,54.99,53.37,1.56,1.31,1.78,30.07,12.02,56.72,1.01621087,56.72,1.06,1.02,1.05,2.07
STE,STERIS plc (Ireland),247.5,USD,NYSE,-0.82,24376425533.0,USD,37.53,0.91,60.88,6.15,12.6,1.85,10.74,236.25,225.5,234.98,0.92,0.46,4.17,9.73,10.86,20.6,1.047642508,20.6,1.02,1.05,1.1,2.07
ORK,ORKLA ASA,115.2,NOK,OSL,0.0,11267040914.0,USD,10.91,3.47,28.34,25.97,8.58,0.96,6.08,110.71,107.51,109.24,-0.12,0.02,1.34,12.93,10.99,35.51,1.029826089,35.51,1.04,1.03,1.07,2.07
CINF,Cincinnati Financial Corporation,152.96,USD,NASDAQ,-0.45,23919338110.0,USD,13.27,2.19,96.76,16.23,12.61,6.13,2.25,150.72,145.11,148.8,0.71,0.65,2.89,13.44,8.72,34.97,1.038651704,34.97,1.03,1.04,1.05,2.07
RGLD,"Royal Gold, Inc.",174.75,USD,NASDAQ,2.97,11503976807.0,USD,25.58,1.03,25.12,25.28,15.43,-2.61,10.38,162.98,158.42,167.02,0.4,0.51,4.26,14.32,15.57,38.1,1.02876235,38.1,1.04,1.03,1.1,2.07
SGO,SAINT GOBAIN,96.34,EUR,EURONEXT,-0.06,55255786504.0,USD,17.12,2.26,184.61,25.61,2.58,-2.33,-4.0,97.59,93.9,98.15,1.21,1.58,2.22,11.84,11.56,25.85,1.039215697,25.85,1.03,1.04,1.03,2.07
KPN,KPN KON,4.08,EUR,EURONEXT,-0.32,18442413129.0,USD,19.17,4.27,82.67,13.91,17.25,-2.06,-1.71,3.98,3.83,4.05,0.21,0.05,0.04,34.21,13.13,29.09,1.039846449,29.09,1.03,1.04,1.06,2.07
EQT,EQT Corporation,52.05,USD,NYSE,1.38,32482484418.0,USD,28.0,1.23,219.91,55.42,-0.86,-5.79,-2.33,52.01,50.95,54.89,0.59,0.8,1.58,6.26,6.03,48.77,1.020797059,48.77,1.05,1.02,1.02,2.07
WISE,WISE PLC CLS A ORD GBP0.01,1058.0,GBX,LSE,-1.12,18203895464.0,USD,26.62,0.0,32.25,48.18,-1.67,-3.82,3.93,1040.24,1012.68,1051.84,0.89,0.68,28.35,35.22,,42.69,1.027207962,42.69,1.04,1.03,1.04,2.07
III,3I GROUP ORD GBP0.738636,4073.5,GBX,LSE,-0.04,52760763606.0,USD,7.83,1.78,344.61,28.22,-0.6,0.26,-5.84,4084.21,3916.88,4124.31,1.27,0.89,74.09,22.5,,27.88,1.042721954,27.88,1.03,1.04,1.04,2.07
DNB,DNB BANK ASA,273.2,NOK,OSL,-0.15,40075253948.0,USD,9.14,6.17,91.45,23.34,7.69,-1.01,5.77,265.35,254.85,268.9,1.03,0.77,3.29,17.97,1.6,30.01,1.041195449,30.01,1.03,1.04,1.07,2.07
DKS,Dick's Sporting Goods Inc,223.41,USD,NYSE,0.23,17893640346.0,USD,15.97,2.08,377.98,-2.87,-4.15,33.27,3.18,217.32,207.33,205.95,1.1,1.26,5.62,40.22,22.26,26.25,1.048183087,26.25,1.03,1.05,1.08,2.07
AXP,American Express Company,308.17,USD,NYSE,-0.07,214450000000.0,USD,21.64,0.99,218.75,23.45,1.06,9.35,1.71,303.25,293.6,307.2,1.28,1.35,5.53,32.58,,33.85,1.032876446,33.85,1.03,1.03,1.05,2.07
JMT,"J.MARTINS,SGPS",21.3,EUR,EURONEXT,-0.56,15644128775.0,USD,,2.76,52.69,27.47,5.65,-3.18,-3.09,21.12,20.28,21.6,0.76,0.7,0.32,,,29.94,1.041862991,29.94,1.03,1.04,1.05,2.07
CTAS,Cintas Corporation,216.11,USD,NASDAQ,-0.29,87087561950.0,USD,49.1,0.72,166.94,10.97,4.94,-1.77,-2.33,221.54,210.49,220.42,1.02,0.87,3.44,40.13,29.19,14.15,1.052473043,14.15,1.01,1.05,1.03,2.07
LNG,"Cheniere Energy, Inc.",240.61,USD,NYSE,1.95,52878405606.0,USD,14.02,0.82,365.31,30.89,6.63,5.53,6.63,233.17,226.21,234.65,0.43,0.76,5.82,68.91,12.76,43.05,1.030760169,43.05,1.04,1.03,1.06,2.07
CHWY,"Chewy, Inc.",40.14,USD,NYSE,-1.93,16666529351.0,USD,44.96,0.0,-29.7,52.91,8.14,-8.38,5.74,37.39,36.86,39.18,1.67,1.07,1.27,76.24,11.91,52.67,1.014514129,52.67,1.05,1.01,1.09,2.07
CCI,Crown Castle Inc.,102.8,USD,NYSE,-0.06,44766323729.0,USD,,5.6,-36.97,-6.38,13.02,2.16,-3.84,105.23,99.41,103.71,0.91,0.05,2.23,-234.1,,8.79,1.058523048,8.79,1.01,1.06,1.03,2.07
NBIX,"Neurocrine Biosciences, Inc.",135.28,USD,NASDAQ,1.54,13417274677.0,USD,39.93,0.0,20.02,-9.81,11.76,14.6,2.08,130.68,124.09,129.81,0.25,0.7,2.91,13.39,15.97,16.54,1.053107336,16.54,1.02,1.05,1.09,2.07
GALP,GALP ENERGIA-NOM,16.5,EUR,EURONEXT,0.36,14376763233.0,USD,12.55,3.81,80.29,-13.66,8.41,18.96,0.0,16.47,15.56,16.2,0.51,0.82,0.27,21.64,14.68,13.71,1.058542861,13.71,1.01,1.06,1.06,2.07
TRV,"The Travelers Companies, Inc.",274.92,USD,NYSE,0.19,61893801092.0,USD,12.16,1.55,145.09,26.28,13.4,1.25,3.87,264.57,256.73,262.9,0.53,0.42,4.68,19.29,10.98,40.94,1.030555928,40.94,1.04,1.03,1.07,2.07
IFX,INFINEON TECH.AG NA O.N.,36.15,EUR,XETR,-0.01,54599638417.0,USD,69.82,0.96,62.16,12.67,-6.67,4.15,-2.61,35.57,33.53,36.02,1.58,1.7,0.9,7.04,9.07,10.15,1.060818294,10.15,1.01,1.06,1.08,2.07
GFL,GFL ENVIRONMENTAL INC.,70.7,CAD,TSX,1.0,18627972702.0,USD,,0.12,174.46,24.56,7.82,5.22,9.39,68.45,66.08,67.39,0.96,0.65,1.26,-0.19,2.55,37.61,1.035764537,37.61,1.04,1.04,1.07,2.07
MDT,Medtronic plc.,91.1,USD,NYSE,-2.27,116723000000.0,USD,25.14,3.01,-8.74,6.02,3.95,13.0,1.26,91.59,87.28,89.64,0.82,0.5,1.93,,,22.96,1.049380928,22.96,1.02,1.05,1.04,2.07
MUV2,MUENCH.RUECKVERS.VNA O.N.,559.0,EUR,XETR,-0.18,84910199553.0,USD,14.38,3.55,133.7,20.09,8.67,-3.92,-4.12,568.46,545.64,564.7,0.73,0.59,10.31,16.65,3.11,24.84,1.041821029,24.84,1.02,1.04,1.02,2.07
LISN,LINDT N,119000.0,CHF,SIX,0.34,33870886336.0,USD,43.0,1.26,49.69,9.58,13.77,-4.65,-6.45,117495.24,113246.0,125632.0,0.78,0.37,2105.3,14.15,12.83,18.7,1.037522191,18.7,1.02,1.04,1.05,2.06
TRN,TERNA,8.68,EUR,MIL,-0.28,20279748535.0,USD,15.75,4.56,36.85,13.62,11.26,-3.47,0.12,8.51,8.22,8.57,0.43,0.2,0.09,19.67,8.48,21.41,1.03498446,21.41,1.02,1.03,1.05,2.06
ALL,Allstate Corporation (The),206.55,USD,NYSE,-3.31,54427028900.0,USD,9.71,1.8,117.9,13.76,9.33,1.99,6.8,203.59,197.57,199.17,0.34,0.64,4.07,27.33,12.05,25.08,1.03049596,25.08,1.03,1.03,1.05,2.06
BN,DANONE,73.76,EUR,EURONEXT,-0.11,55289281506.0,USD,25.87,2.89,31.43,22.48,7.99,-3.07,9.27,71.33,69.39,70.07,0.47,-0.08,1.03,11.27,10.88,27.4,1.027881435,27.4,1.03,1.03,1.06,2.06
CMS,CMS Energy Corporation,72.78,USD,NYSE,-0.32,21785635850.0,USD,21.48,2.9,20.44,9.07,3.13,4.09,0.34,73.11,70.28,71.43,0.35,0.06,1.01,12.48,4.83,16.29,1.040227868,16.29,1.02,1.04,1.04,2.06
DNP,DINOPL,46.48,PLN,GPW,-6.37,13255932881.0,USD,29.96,0.0,93.67,35.51,-3.39,-11.43,-7.96,48.67,47.04,50.36,1.0,0.99,1.57,22.87,25.56,20.69,1.03462054,20.69,1.02,1.03,0.99,2.06
BNTX,BioNTech SE,110.77,USD,NASDAQ,-0.48,26628965850.0,USD,,0.0,54.34,24.7,-6.82,14.22,1.61,111.42,108.64,109.75,1.24,1.1,2.79,-1.81,-2.6,32.1,1.025555553,32.1,1.03,1.03,1.02,2.06
ASSA_B,ASSA ABLOY AB SER. B,336.7,SEK,OMXSTO,0.51,38513392483.0,USD,25.74,1.68,67.93,7.95,2.4,10.98,5.32,328.25,316.87,313.55,1.1,0.97,4.76,14.58,15.08,21.33,1.035894826,21.33,1.02,1.04,1.06,2.06
AWK,"American Water Works Company, Inc.",145.87,USD,NYSE,0.17,29486278691.0,USD,26.26,2.14,1.57,3.39,13.78,1.72,2.22,143.06,137.41,142.09,0.64,-0.2,2.57,10.4,6.08,18.89,1.041185004,18.89,1.02,1.04,1.06,2.06
EBK,ENBW ENERGIE BADEN-WUERTTEMBERG AG,67.2,EUR,XETR,-0.3,25211674954.0,USD,51.92,2.31,40.1,2.77,6.27,-2.21,-1.75,69.15,65.59,68.47,0.5,0.04,2.08,3.57,3.76,6.82,1.054383401,6.82,1.01,1.05,1.02,2.06
VICI,VICI Properties Inc.,32.96,USD,NYSE,-0.03,35147546016.0,USD,12.61,5.25,46.29,2.84,6.77,5.4,0.4,32.91,31.58,32.86,0.71,0.27,0.48,10.45,,15.01,1.042058667,15.01,1.02,1.04,1.04,2.06
TMUS,"T-Mobile US, Inc.",258.16,USD,NASDAQ,-0.33,290538000000.0,USD,24.35,1.27,124.43,31.47,-2.74,7.12,10.49,246.68,241.87,237.48,0.61,0.65,4.37,19.74,10.29,35.84,1.019899574,35.84,1.04,1.02,1.07,2.06
ARM,Arm Holdings plc,133.28,USD,NASDAQ,1.62,141144000000.0,USD,202.95,0.0,137.58,1.42,-11.88,5.66,-17.22,144.04,135.79,148.12,4.18,2.73,5.57,11.03,9.97,-4.79,1.060756427,-4.79,1.0,1.06,0.98,2.06
FE,FirstEnergy Corp.,43.48,USD,NYSE,-0.23,25105522641.0,USD,19.19,3.95,53.91,0.67,5.25,2.45,5.33,43.0,40.89,41.43,0.46,0.13,0.57,10.33,5.88,8.37,1.0517599,8.37,1.01,1.05,1.06,2.06
EVO,EVOLUTION AB,850.2,SEK,OMXSTO,-0.56,18093367535.0,USD,12.84,3.54,36.34,-18.87,1.89,30.88,0.69,859.65,818.76,803.11,1.34,0.47,16.12,32.78,31.18,13.9,1.049941673,13.9,1.01,1.05,1.04,2.06
IQV,"IQVIA Holdings, Inc.",185.39,USD,NYSE,-3.46,31516299896.0,USD,26.85,0.0,17.02,-25.11,-4.25,36.36,8.21,188.29,179.37,172.94,1.3,0.83,5.18,19.8,11.07,7.0,1.049747775,7.0,1.01,1.05,1.03,2.06
NG.,NATIONAL GRID ORD GBP0.12431289,1054.0,GBX,LSE,-0.52,70493892833.0,USD,17.49,4.41,29.02,7.27,10.97,-3.79,-2.77,1057.29,1007.73,1054.51,0.4,0.41,16.26,8.35,5.21,14.45,1.049171943,14.45,1.01,1.05,1.05,2.06
AZN,AstraZeneca PLC,11986.0,GBX,LSE,-0.51,250481000000.0,USD,29.14,2.05,40.33,-8.57,3.76,14.41,14.3,11344.38,10842.75,10807.68,0.63,0.98,216.18,20.1,15.68,9.6,1.046264181,9.6,1.01,1.05,1.11,2.06
DTM,"DT Midstream, Inc.",103.24,USD,NYSE,0.67,10488410145.0,USD,27.75,3.03,146.99,36.74,2.94,1.52,3.15,102.92,101.06,103.97,0.8,0.75,2.31,8.48,5.88,41.21,1.018380929,41.21,1.04,1.02,1.02,2.06
TER,"Teradyne, Inc.",109.3,USD,NASDAQ,-0.2,17386737544.0,USD,37.91,0.44,22.85,-17.97,-8.41,42.51,15.87,105.01,100.47,96.92,1.72,1.51,3.83,16.85,17.99,16.13,1.04523302,16.13,1.02,1.05,1.09,2.06
ALO,ALSTOM,21.51,EUR,EURONEXT,0.47,11480627714.0,USD,70.73,0.0,-48.25,20.71,5.29,15.46,0.05,21.04,20.61,20.3,1.25,1.05,0.49,1.54,4.56,41.45,1.020779498,41.45,1.04,1.02,1.04,2.06
EXEL,"Exelixis, Inc.",38.71,USD,NASDAQ,2.25,10420830277.0,USD,18.57,0.0,73.51,46.08,7.22,-9.37,-12.6,38.65,37.88,41.56,0.29,1.13,1.21,29.0,31.52,43.93,1.020266294,43.93,1.04,1.02,1.02,2.06
EL,ESSILORLUXOTTICA,271.8,EUR,EURONEXT,-0.07,145826000000.0,USD,52.74,1.43,148.33,27.67,-7.52,3.07,10.4,259.7,251.18,248.75,0.9,0.92,4.91,6.19,7.02,23.22,1.033932247,23.22,1.02,1.03,1.08,2.06
T,TELUS CORP,23.01,CAD,TSX,0.39,25212344876.0,USD,35.87,7.02,-4.56,6.43,5.94,3.56,2.27,22.36,21.44,22.25,0.89,0.2,0.27,6.23,6.38,15.92,1.043023614,15.92,1.02,1.04,1.07,2.06
FCX,"Freeport-McMoRan, Inc.",41.72,USD,NYSE,0.99,59900500122.0,USD,31.6,1.45,186.74,-5.25,7.11,12.09,-8.53,41.72,40.01,42.9,1.63,1.75,1.19,10.7,13.39,13.96,1.042628564,13.96,1.01,1.04,1.04,2.06
PNC,"PNC Financial Services Group, Inc. (The)",194.0,USD,NYSE,-0.51,76398630371.0,USD,13.25,3.33,81.49,11.43,0.81,14.29,-0.96,191.65,186.42,189.88,1.09,1.09,3.14,11.19,2.6,26.52,1.028078325,26.52,1.03,1.03,1.04,2.05
NU,Nu Holdings Ltd.,13.67,USD,NYSE,0.37,65871066211.0,USD,29.1,0.0,21.51,-5.37,14.78,16.34,5.89,12.58,12.26,12.85,1.06,1.32,0.5,27.88,13.5,25.75,1.025485111,25.75,1.03,1.03,1.11,2.05
ZURN,ZURICH INSURANCE N,594.0,CHF,SIX,-0.37,104512000000.0,USD,16.85,4.69,76.26,22.7,3.34,1.5,6.07,574.69,564.54,563.24,0.8,0.84,7.5,24.54,2.39,27.55,1.017980664,27.55,1.03,1.02,1.05,2.05
HBAN,Huntington Bancshares Incorporated,16.66,USD,NASDAQ,-0.83,24421666410.0,USD,12.41,3.69,81.09,19.51,0.97,10.4,-0.72,16.46,16.12,16.57,0.96,1.29,0.33,10.43,3.48,30.89,1.021224156,30.89,1.03,1.02,1.03,2.05
NOVN,NOVARTIS N,102.54,CHF,SIX,-0.31,242062000000.0,USD,17.27,3.42,29.83,2.23,7.51,9.95,9.55,96.66,94.07,96.15,0.33,0.08,1.51,33.32,24.57,19.69,1.02752166,19.69,1.02,1.03,1.09,2.05
EQH,"Equitable Holdings, Inc.",51.87,USD,NYSE,-0.4,15536956301.0,USD,41.83,1.9,148.42,28.61,-4.07,1.97,-0.77,52.21,51.1,53.06,0.86,0.29,1.37,34.3,0.43,26.51,1.021825057,26.51,1.03,1.02,1.02,2.05
TRYG,TRYG A/S,169.0,DKK,OMXCOP,-0.06,15419636604.0,USD,20.5,4.73,12.57,11.92,13.96,-1.11,6.36,162.4,158.45,162.2,0.27,0.13,1.62,12.95,7.64,24.77,1.024938702,24.77,1.02,1.02,1.07,2.05
IPN,IPSEN,116.5,EUR,EURONEXT,0.17,11165597809.0,USD,21.7,1.21,32.54,8.27,7.18,14.44,8.68,109.98,108.32,106.64,0.33,0.69,2.07,10.82,23.3,29.89,1.015352503,29.89,1.03,1.02,1.08,2.05
YMM,Full Truck Alliance Co. Ltd.,12.09,USD,NYSE,9.81,12644860952.0,USD,24.31,0.74,-46.27,62.28,-4.69,9.31,0.33,11.32,11.46,11.83,0.2,0.82,0.49,10.3,8.94,66.9,0.987421019,66.9,1.07,0.99,1.05,2.05
WTW,Willis Towers Watson Public Limited Company,337.15,USD,NASDAQ,0.43,32888303859.0,USD,235.62,1.07,69.69,19.04,4.08,9.9,11.3,322.95,316.9,311.96,0.68,0.43,5.43,1.57,,33.03,1.019097386,33.03,1.03,1.02,1.06,2.05
PAYC,"Paycom Software, Inc.",225.32,USD,NYSE,-0.72,13040800261.0,USD,30.48,0.66,-22.21,41.4,4.8,-12.67,-1.44,227.6,224.92,230.39,0.82,0.96,6.66,25.76,27.76,33.53,1.011932417,33.53,1.03,1.01,1.0,2.05
TELIA,TELIA COMPANY AB,35.92,SEK,OMXSTO,0.03,14245035449.0,USD,33.01,5.59,6.37,16.55,5.99,-3.78,-0.06,35.1,33.94,34.7,0.33,0.11,0.48,11.4,8.14,18.76,1.034109652,18.76,1.02,1.03,1.06,2.05
KNEBV,KONE CORPORATION,53.62,EUR,OMXHEX,0.19,32186070118.0,USD,28.44,3.35,-24.27,13.96,-1.9,-4.35,-3.28,54.13,52.17,54.86,0.83,0.96,1.34,42.64,41.54,7.71,1.037518874,7.71,1.01,1.04,1.03,2.05
VLO,Valero Energy Corporation,140.29,USD,NYSE,-0.16,43581333874.0,USD,58.17,3.17,164.35,-1.36,1.53,10.69,-3.0,137.25,131.7,140.07,1.0,1.32,3.44,3.07,4.76,10.86,1.042141219,10.86,1.01,1.04,1.07,2.05
CCZ,Comcast Holdings ZONES,60.85,USD,NYSE,3.14,124058000000.0,USD,,,-6.31,6.75,-4.92,2.86,1.84,60.29,57.88,60.39,0.01,0.49,2.7,,,4.69,1.04154172,4.69,1.0,1.04,1.05,2.05
INW,INWIT,10.42,EUR,MIL,-0.19,11289894591.0,USD,26.93,4.91,23.39,-1.88,11.44,1.86,-1.88,10.41,10.0,10.35,0.44,0.43,0.12,9.47,6.57,11.42,1.040981842,11.42,1.01,1.04,1.04,2.05
ALLY,Ally Financial Inc.,38.45,USD,NYSE,0.55,11835219543.0,USD,24.98,3.14,78.09,-8.99,-1.44,16.62,-0.62,38.06,36.58,38.53,1.15,1.1,0.81,4.18,0.52,6.19,1.040430388,6.19,1.01,1.04,1.05,2.05
DIE,D'IETEREN GROUP,187.6,EUR,EURONEXT,-0.21,11484168248.0,USD,26.99,28.22,288.41,-11.76,16.59,2.35,6.11,181.43,173.18,180.31,1.49,0.96,2.67,24.81,7.65,7.18,1.047654244,7.18,1.01,1.05,1.08,2.05
PEG,Public Service Enterprise Group Incorporated,83.29,USD,NYSE,-2.2,41568352204.0,USD,21.03,2.89,55.77,3.7,-1.32,7.08,-1.54,87.06,83.79,84.49,0.47,0.34,1.62,12.19,5.63,9.47,1.039040703,9.47,1.01,1.04,0.99,2.05
LIN,Linde plc,480.71,USD,NASDAQ,-0.34,225410000000.0,USD,34.17,1.2,91.69,4.51,3.7,5.98,2.19,472.3,454.91,469.06,0.93,0.49,6.18,17.51,12.94,14.19,1.038213475,14.19,1.01,1.04,1.06,2.05
AOS,A.O. Smith Corporation,71.75,USD,NYSE,-0.14,10054297570.0,USD,20.01,1.89,45.8,-11.63,6.9,8.09,3.8,71.53,68.46,68.9,1.22,0.8,1.34,27.6,29.8,3.36,1.044947082,3.36,1.0,1.04,1.05,2.05
MTD,"Mettler-Toledo International, Inc.",1278.0,USD,NYSE,-2.95,26325571941.0,USD,32.37,0.0,32.45,-11.0,-1.63,14.52,8.66,1269.88,1216.78,1224.3,1.35,1.06,32.56,,51.5,1.88,1.043642848,1.88,1.0,1.04,1.05,2.05
NLY,Annaly Capital Management Inc.,20.54,USD,NYSE,-1.77,13188243904.0,USD,20.44,12.91,-30.04,1.68,-5.69,10.13,2.8,20.67,19.81,19.99,0.39,0.01,0.29,5.94,,6.12,1.043823718,6.12,1.01,1.04,1.04,2.05
